000	src0	p0	s0	text_e23cd72c530e4999	boxes=box_e23cd72c530e4999	sem=text	q=review	OCR=VILLAIN TO KILL
001	src0	p0	s0	text_00c9431e649e4460	boxes=box_00c9431e649e4460	sem=text	q=good	OCR=Jiscord.gg/asuran / asurascans.com
002	src0	p0	s0	text_ccbcef23566d42ea	boxes=box_ccbcef23566d42ea	sem=free_text	q=good	OCR=DETE
003	src1	p1	s0	text_042800e75e4840b0	boxes=box_042800e75e4840b0	sem=speech_bubble	q=good	OCR=WHERE / ARE NAEUN / AND AHMI?
004	src1	p2	s1	text_7c17bd50bb8349d1	boxes=box_7c17bd50bb8349d1	sem=speech_bubble	q=good	OCR=I GOT / DARK STAR TO / LOOK AFTER THEM / WHILE THEY WENT / ON AHEAD.
005	src1	p2	s1	text_c33d294250184f11	boxes=box_c33d294250184f11	sem=speech_bubble	q=good	OCR=PRINCE AND HIS / PARTY WILL BE GOING / AFTER THEM.
006	src1	p3	s2	text_c8300de7a61849d1	boxes=box_c8300de7a61849d1	sem=speech_bubble	q=good	OCR=BEFORE THAT... / WE SHOULD TAKE / CARE OF-
007	src1	p5	s4	text_be1b011a2638412a	boxes=box_be1b011a2638412a	sem=speech_bubble	q=review	OCR=... THEY'RE FAST.
008	src1	p5	s4	text_6b7b453d28b74073	boxes=box_6b7b453d28b74073	sem=speech_bubble	q=good	OCR=THEY LEFT THEIR / COMRADE BEHIND / AND RAN AWAY?
009	src1	p5	s4	text_ce32cb2cd34b4d62	boxes=box_ce32cb2cd34b4d62	sem=speech_bubble	q=good	OCR=SO WHICH WAY / SHOULD WE GO?
010	src2	p6	s0	text_6ce69d12e5094e03	boxes=box_6ce69d12e5094e03	sem=speech_bubble	q=good	OCR=THAT WAY. / HURRY!
011	src2	p6	s0	text_5601475d17f94172	boxes=box_5601475d17f94172	sem=free_text	q=good	OCR=THAT WAY. / HURRY!
012	src2	p6	s0	text_c281d0b9fa4c46ef	boxes=box_c281d0b9fa4c46ef	sem=free_text	q=good	OCR=I'LL GO ON / AHEAD!
013	src2	p6	s0	text_f0e47518e5db4a55	boxes=box_f0e47518e5db4a55	sem=speech_bubble	q=good	OCR=I'LL GO ON / AHEAD!
014	src4	p13	s0	text_a8462747ab594acb	boxes=box_a8462747ab594acb	sem=speech_bubble	q=good	OCR=GOTCHA!
015	src4	p15	s2	text_ecff1a23010f4212	boxes=box_ecff1a23010f4212	sem=speech_bubble	q=good	OCR=IT WAS / FAKE?!
016	src4	p15	s2	text_789a77a97f29484e	boxes=box_789a77a97f29484e	sem=speech_bubble	q=good	OCR=HOW ANNOYING... / HOW MUCH LONGER / ARE YOU GOING TO / USE THESE FAKE / PUPPETS?!
017	src4	p16	s3	text_81b42f527c0f460d	boxes=box_81b42f527c0f460d	sem=speech_bubble	q=good	OCR=ARE YOU / ABLE TO TELL THE / DIFFERENCE?
018	src5	p18	s0	text_b6efb1216dad4934	boxes=box_b6efb1216dad4934	sem=speech_bubble	q=good	OCR=ALL THE ONES / IN FRONT OF US / ARE FAKE.
019	src5	p18	s0	text_06a6692664694818	boxes=box_06a6692664694818	sem=speech_bubble	q=good	OCR=THEN THE / ANSWER IS / SIMPLE.
020	src5	p18	s0	text_1e8d6dbb3c244180	boxes=box_1e8d6dbb3c244180	sem=speech_bubble	q=good	OCR=WE JUST / NEED TO FIND THE / PATH THAT HAS NO / PUPPETS.
021	src6	p19	s0	text_0e39e85f58004bfb	boxes=box_0e39e85f58004bfb	sem=speech_bubble	q=good	OCR=DAMN IT...! / HE FIGURED IT OUT / IN ONE GO?!
022	src6	p20	s1	text_187dd0a62f284bde	boxes=box_187dd0a62f284bde	sem=speech_bubble	q=good	OCR=BUT WHAT / SHOULD WE DO / ABOUT THIS? BLOOD... / ISN'T ANSWERING.
023	src6	p21	s2	text_dd515c5aa0864622	boxes=box_dd515c5aa0864622	sem=speech_bubble	q=good	OCR=DON'T TELL / ME HE WENT OFF / TO DO HIS OWN / THING AGAIN.
024	src6	p21	s2	text_0b1bbc4792c046e3	boxes=box_0b1bbc4792c046e3	sem=speech_bubble	q=good	OCR=I WARNED HIM / BEFOREHAND, / TOO...
025	src6	p21	s2	text_20b7e09e6dba4c10	boxes=box_20b7e09e6dba4c10	sem=speech_bubble	q=good	OCR=HE REALLY HAS / NO PATIENCE.
026	src6	p23	s4	text_a566dec6588a461b	boxes=box_a566dec6588a461b	sem=speech_bubble	q=review	OCR=IDIOTS...! I'M / OVER HERE!
027	src6	p24	s5	text_d0da59b747e24694	boxes=box_d0da59b747e24694	sem=speech_bubble	q=review	OCR=...PLEASE FALL / FORITL
028	src6	p24	s5	text_9bf69953b6d8479c	boxes=box_9bf69953b6d8479c	sem=speech_bubble	q=review	OCR=...PLEASE FALL / FOR IT!
029	src6	p24	s5	text_538c3e67b2564b22	boxes=box_538c3e67b2564b22	sem=speech_bubble	q=review	OCR=...PLLANLTALL / FOR IT!
